uniprot,series,has_smiles_hit,smiles_hit_num,smiles_hit_rate,smiles_hit_fraction,has_scaffold_hit,scaffold_hit_rate,scaffold_hit_fraction,normalized_affinity_sum
P12931,Sries10152,False,0,0.0,0.0,True,0.475,0.07142857142857142,0.0
P06239,Sries10363,False,0,0.0,0.0,True,0.085,0.08333333333333333,0.0
P00519,Sries10472,True,1,0.005,0.03225806451612903,True,0.005,0.07142857142857142,0.6836408181204354
P00742,Sries10521,False,0,0.0,0.0,True,0.08,0.05555555555555555,0.0
P00749,Sries10756,False,0,0.0,0.0,False,0.0,0.0,0.0
P12821,Sries1097,False,0,0.0,0.0,False,0.0,0.0,0.0
Q92731,Sries11217,False,0,0.0,0.0,False,0.0,0.0,0.0
P24941,Sries11344,False,0,0.0,0.0,False,0.0,0.0,0.0
P35968,Sries11589,False,0,0.0,0.0,True,0.01,0.125,0.0
P12931,Sries11626,False,0,0.0,0.0,False,0.0,0.0,0.0
P12821,Sries1166,False,0,0.0,0.0,False,0.0,0.0,0.0
Q92731,Sries11705,False,0,0.0,0.0,True,0.005,0.5,0.0
P12821,Sries1233,False,0,0.0,0.0,False,0.0,0.0,0.0
P12821,Sries1236,False,0,0.0,0.0,True,0.01,0.5,0.0
P31645,Sries12826,False,0,0.0,0.0,True,0.03,0.25,0.0
Q05397,Sries12970,False,0,0.0,0.0,False,0.0,0.0,0.0
P29274,Sries12999,False,0,0.0,0.0,True,0.005,0.1,0.0
P00533,Sries13081,False,0,0.0,0.0,True,0.42,0.4444444444444444,0.0
Q05397,Sries13082,False,0,0.0,0.0,False,0.0,0.0,0.0
P18031,Sries13306,False,0,0.0,0.0,False,0.0,0.0,0.0
P14174,Sries13320,False,0,0.0,0.0,True,0.07,0.25,0.0
Q92731,Sries13345,True,1,0.005,0.029411764705882353,True,0.005,0.14285714285714285,0.12425400942116434
P00734,Sries13362,False,0,0.0,0.0,False,0.0,0.0,0.0
Q16539,Sries13439,False,0,0.0,0.0,False,0.0,0.0,0.0
P06239,Sries13463,False,0,0.0,0.0,True,0.03,0.1,0.0
Q92731,Sries13475,False,0,0.0,0.0,False,0.0,0.0,0.0
P41145,Sries13577,False,0,0.0,0.0,False,0.0,0.0,0.0
P06239,Sries13583,False,0,0.0,0.0,True,0.035,0.10526315789473684,0.0
P55055,Sries13659,False,0,0.0,0.0,True,0.01,0.08333333333333333,0.0
P12931,Sries13686,False,0,0.0,0.0,False,0.0,0.0,0.0
P45452,Sries13975,True,1,0.005,0.02702702702702703,True,0.005,0.05263157894736842,0.7462041881967965
P28482,Sries14089,True,1,0.005,0.03225806451612903,True,0.26,0.14285714285714285,0.5051640070750025
O14757,Sries14139,True,2,0.01,0.041666666666666664,True,0.015,0.058823529411764705,1.621153005110136
P29274,Sries14163,False,0,0.0,0.0,True,0.01,0.0625,0.0
P06276,Sries14260,False,0,0.0,0.0,False,0.0,0.0,0.0
P00749,Sries14362,False,0,0.0,0.0,True,0.02,0.0625,0.0
P55055,Sries14421,False,0,0.0,0.0,True,0.03,0.16666666666666666,0.0
P49137,Sries14437,True,4,0.02,0.13793103448275862,True,0.05,0.3076923076923077,1.6498004947501599
P10275,Sries14520,False,0,0.0,0.0,True,0.015,0.14285714285714285,0.0
P21554,Sries14530,False,0,0.0,0.0,True,0.11,0.15384615384615385,0.0
P36897,Sries14607,False,0,0.0,0.0,False,0.0,0.0,0.0
P41145,Sries14641,False,0,0.0,0.0,False,0.0,0.0,0.0
P35968,Sries14930,False,0,0.0,0.0,False,0.0,0.0,0.0
P18031,Sries14949,False,0,0.0,0.0,True,0.04,0.10526315789473684,0.0
P00797,Sries14982,False,0,0.0,0.0,True,0.08,0.07692307692307693,0.0
P10828,Sries15074,False,0,0.0,0.0,True,0.325,0.5,0.0
P10828,Sries15275,False,0,0.0,0.0,True,0.205,0.25,0.0
P18031,Sries15438,False,0,0.0,0.0,False,0.0,0.0,0.0
P06239,Sries15536,False,0,0.0,0.0,False,0.0,0.0,0.0
P08069,Sries15558,False,0,0.0,0.0,True,0.115,0.125,0.0
P49137,Sries15708,True,1,0.005,0.020833333333333332,True,0.035,0.2,0.1902439489001183
O14757,Sries15811,False,0,0.0,0.0,True,0.09,0.03333333333333333,0.0
P14416,Sries1588,False,0,0.0,0.0,False,0.0,0.0,0.0
P18031,Sries16024,False,0,0.0,0.0,True,0.09,0.05,0.0
P21554,Sries16309,False,0,0.0,0.0,False,0.0,0.0,0.0
P14174,Sries16420,True,4,0.02,0.5714285714285714,True,0.22,0.8333333333333334,1.761339810873303
P06239,Sries16522,False,0,0.0,0.0,True,0.005,0.047619047619047616,0.0
P10828,Sries16662,False,0,0.0,0.0,True,0.33,0.3333333333333333,0.0
P05979,Sries16708,False,0,0.0,0.0,True,0.005,1.0,0.0
P08183,Sries16757,False,0,0.0,0.0,True,0.555,0.25,0.0
P41145,Sries16881,False,0,0.0,0.0,True,0.37,0.2,0.0
P00918,Sries1710,False,0,0.0,0.0,True,0.02,0.1111111111111111,0.0
P14416,Sries17183,False,0,0.0,0.0,False,0.0,0.0,0.0
O14757,Sries17243,False,0,0.0,0.0,True,0.17,0.1724137931034483,0.0
P00918,Sries1727,False,0,0.0,0.0,True,0.105,0.14285714285714285,0.0
Q03181,Sries17465,False,0,0.0,0.0,False,0.0,0.0,0.0
O14965,Sries17596,False,0,0.0,0.0,False,0.0,0.0,0.0
P45452,Sries17711,False,0,0.0,0.0,True,0.005,0.058823529411764705,0.0
Q96RI1,Sries17726,False,0,0.0,0.0,True,0.005,0.058823529411764705,0.0
P12931,Sries17730,False,0,0.0,0.0,True,0.385,0.2727272727272727,0.0
Q07869,Sries17788,False,0,0.0,0.0,False,0.0,0.0,0.0
P12821,Sries17928,True,1,0.005,0.06666666666666667,True,0.005,0.125,0.3014312556128447
P21554,Sries17974,False,0,0.0,0.0,False,0.0,0.0,0.0
Q9BY41,Sries18115,False,0,0.0,0.0,True,0.01,1.0,0.0
P29476,Sries18184,False,0,0.0,0.0,True,0.01,0.1111111111111111,0.0
P24941,Sries18306,True,1,0.005,0.024390243902439025,True,0.005,0.06666666666666667,0.3059743659319929
Q03181,Sries18404,False,0,0.0,0.0,False,0.0,0.0,0.0
Q92731,Sries18498,False,0,0.0,0.0,False,0.0,0.0,0.0
P00489,Sries18617,False,0,0.0,0.0,False,0.0,0.0,0.0
Q08499,Sries18697,False,0,0.0,0.0,True,0.11,0.15384615384615385,0.0
Q07869,Sries18787,False,0,0.0,0.0,False,0.0,0.0,0.0
P55055,Sries18794,False,0,0.0,0.0,False,0.0,0.0,0.0
P08183,Sries18978,False,0,0.0,0.0,True,0.59,0.2857142857142857,0.0
P00742,Sries19028,False,0,0.0,0.0,False,0.0,0.0,0.0
Q92769,Sries19298,False,0,0.0,0.0,False,0.0,0.0,0.0
Q9BY41,Sries19300,False,0,0.0,0.0,False,0.0,0.0,0.0
P04150,Sries19399,False,0,0.0,0.0,False,0.0,0.0,0.0
P35372,Sries19404,False,0,0.0,0.0,True,0.435,0.13333333333333333,0.0
P10415,Sries19407,False,0,0.0,0.0,True,0.17,0.1,0.0
P08069,Sries19448,False,0,0.0,0.0,False,0.0,0.0,0.0
P11362,Sries19482,False,0,0.0,0.0,True,0.43,0.058823529411764705,0.0
P29274,Sries19510,False,0,0.0,0.0,False,0.0,0.0,0.0
P00915,Sries1963,False,0,0.0,0.0,False,0.0,0.0,0.0
P49841,Sries19696,False,0,0.0,0.0,False,0.0,0.0,0.0
