uniprot,pdb_id
O75874,6vg0
P33981,3h9f
P11362,5am6
P00489,6f3j
Q9NWZ3,7c2v
P25440,7usg
P11309,5vub
O60674,3fup
P04150,5g5w
P35372,8ef6
P36897,5qtz
P62942,1bkf
P19793,1mvc
P31645,6awo
P12931,4mxo
P27487,2fjp
P68400,6ypg
Q92769,4lxz
P24941,6gub
Q8TEK3,4hra
P45452,3wv1
P37231,1i7i
Q6PL18,5f36
Q06187,5jrs
P08183,7a6e
Q16539,3hub
Q07869,6lx7
P28223,7vod
P43490,4kfo
O76074,3tge
Q86WV6,6dxl
O14757,2ydj
Q07343,3frg
P49137,3fyj
P23458,6smb
Q02750,3eqg
Q02127,4oqv
Q03181,5u46
P52333,6hzv
P31749,3o96
P10826,1xap
P29476,4k5d
Q9Y233,4p0n
P00749,1f5l
P49841,4acc
P22303,7xn1
P00734,1kts
P04629,5h3q
P29473,1d0c
Q9BY41,1t69
P16184,1ly3
P00533,2ito
Q9H2K2,4hyf
P29274,2ydv
P35968,3vhe
P05979,1cqe
P14902,5wn8
Q14145,7q6q
P03372,1uom
Q92793,6ay3
O94925,3uo9
Q96RI1,3dct
P12821,1uzf
Q9UM73,4mkc
O43570,4kp5
P55055,6s4t
P18031,1nl9
P10828,6kkb
P21554,5tgz
P07900,1osf
P00519,2hyy
P07550,6mxt
P08254,1biw
Q07820,5iez
P28845,4hfr
P43405,4px6
P06276,6qaa
P29597,3lxn
P00374,1yho
P14174,4wr8
Q07817,4ehr
P53779,3cgf
P35557,4dch
P03951,4wxi
P42330,1s2c
P52732,2fky
P14416,6luq
P10275,4hlw
P15056,4fc0
P53350,3rq7
P98170,5m6f
P00742,2cji
P10415,4ieh
O60885,3svg
P56817,4hzt
P48736,3dbs
P00918,4z0q
P00338,5w8j
P41143,4n6h
P08069,5fxq
P51449,7kxd
Q15910,5wg6
P42336,4l23
P41145,8dzp
P28482,5ngu
P06239,1bhf
Q92731,1qkm
O14965,2j50
P08581,3cd8
P15145,4fkk
Q00987,1t4e
P34913,4ocz
Q06124,6bmr
P09874,5ds3
P78536,2fv5
P00915,1czm
Q13627,6s14
Q05397,4ebw
Q08499,6f6u
P00797,5sy2
