uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O14965,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034381983840467596
O43570,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.082,0.042,0.011980830670926517,0.011182108626198083,2.2619275971795814,0.0,0.0,0.1289308176100629,0.05700041749551806
O60674,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003929369581767725
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.004,0.002,0.0017261219792865361,0.0011507479861910242,0.1547865449847256,0.0,0.0,0.0041928721174004195,0.027088091554311255
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003069819985756035
O76074,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029470271863257937
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.004629629629629629,0.004629629629629629,2.460362137030407,0.0,0.0,0.0015105740181268882,0.000613963997151207
P00374,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.018,0.018,0.0035335689045936395,0.0035335689045936395,1.0999296878122806,0.0,0.0,0.029079159935379646,0.026437289717330975
P00489,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.006,0.006,0.023255813953488372,0.023255813953488372,2.254651104500451,0.0,0.0,0.00872093023255814,0.0038679731820526046
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.021,0.021,0.0011198208286674132,0.0011198208286674132,2.397569053262094,0.0,0.0,0.0634441087613293,0.026461848277217023
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.007,0.007,0.0012340600575894694,0.0012340600575894694,0.23643634554246037,0.0,0.0,0.00776914539400666,0.0328593531275326
P00734,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.012,0.004,0.0015991471215351812,0.0010660980810234541,0.5860774390420872,0.0,0.0,0.02708803611738149,0.046219209705542864
P00742,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.033,0.033,0.0018390804597701149,0.0018390804597701149,1.6583847775838598,0.0,0.0,0.05365853658536585,0.03235590264986861
P00749,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.003,0.008403361344537815,0.0056022408963585435,0.857542037085885,0.0,0.0,0.026862026862026864,0.031324443134654587
P00797,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.048,0.021,0.0026833631484794273,0.0017889087656529517,1.990978761598125,0.0,0.0,0.07207207207207207,0.03619931727203517
P00915,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.108,0.039,0.007523148148148148,0.006944444444444444,2.688975881071438,0.0,0.0,0.15766423357664233,0.05863356172794027
P00918,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.071,0.031,0.005516549648946841,0.0050150451354062184,2.049865988205451,0.0,0.0,0.12157534246575342,0.0593089221248066
P03372,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.018,0.017,0.00484027105517909,0.003872216844143272,1.025925922610475,0.0,0.0,0.031746031746031744,0.030943785456420837
P03951,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.019,0.0,0.002079002079002079,0.0,0.9407642463225608,0.0,0.0,0.02483660130718954,0.026400451877501903
P04150,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0024937655860349127,0.0024937655860349127,3.0110362122591456,0.0,0.0,0.002699055330634278,0.0008963874358407623
P04629,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.03,0.03,0.0008880994671403197,0.0008880994671403197,1.5782558079753488,0.0,0.0,0.041666666666666664,0.026400451877501903
P05979,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.014,0.0,0.003663003663003663,0.0,0.6072885341371983,0.0,0.0,0.017434620174346202,0.02870895650679044
P06239,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028365136668385766
