uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17283950617284e-05
O14965,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001234567901234568
O43570,True,True,0.001,0.001,0.00024709661477637757,0.00024709661477637757,192307692.30769232,True,True,0.02,0.019,0.003993610223642172,0.003194888178913738,3.1708749239859615,0.019230769230769232,0.0,0.38461538461538464,0.12129629629629629
O60674,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016049382716049382
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.018,0.018,0.0017261219792865361,0.0017261219792865361,1.2301306043661617,0.0,0.0,0.07228915662650602,0.05876543209876543
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002469135802469136
O76074,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030246913580246914
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024074074074074076
P00374,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058209876543209874
P00489,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.005,0.005,0.023255813953488372,0.023255813953488372,8.446298177382156,0.0,0.0,0.14285714285714285,0.01691358024691358
