uniprot,series,has_smiles_hit,smiles_hit_num,smiles_hit_rate,smiles_hit_fraction,has_scaffold_hit,scaffold_hit_rate,scaffold_hit_fraction,normalized_affinity_sum,max_normalized_affinity,normalized_affinity_count_>=_0.5,normalized_affinity_count_>=_0.8,normalized_affinity_count_>=_0.9,normalized_affinity_count_>=_0.95,normalized_affinity_count_>=_0.99,max_normalized_affinity_count_>=_0.5,max_normalized_affinity_count_>=_0.8,max_normalized_affinity_count_>=_0.9,max_normalized_affinity_count_>=_0.95,max_normalized_affinity_count_>=_0.99
P12931,Sries10152,False,0,0.0,0.0,True,0.44,0.07142857142857142,0.0,,0,0,0,0,0,0,0,0,0,0
P06239,Sries10363,False,0,0.0,0.0,True,0.15,0.08333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P00519,Sries10472,True,2,0.01,0.06451612903225806,True,0.01,0.14285714285714285,0.8535257907623004,0.6836408181204354,1,0,0,0,0,True,False,False,False,False
P00742,Sries10521,False,0,0.0,0.0,True,0.12,0.08333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P00749,Sries10756,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1097,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries11217,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P24941,Sries11344,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P35968,Sries11589,False,0,0.0,0.0,True,0.01,0.125,0.0,,0,0,0,0,0,0,0,0,0,0
P12931,Sries11626,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1166,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries11705,False,0,0.0,0.0,True,0.005,0.5,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1233,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1236,False,0,0.0,0.0,True,0.015,0.5,0.0,,0,0,0,0,0,0,0,0,0,0
P31645,Sries12826,False,0,0.0,0.0,True,0.03,0.25,0.0,,0,0,0,0,0,0,0,0,0,0
Q05397,Sries12970,False,0,0.0,0.0,True,0.005,0.08333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P29274,Sries12999,False,0,0.0,0.0,True,0.005,0.1,0.0,,0,0,0,0,0,0,0,0,0,0
P00533,Sries13081,False,0,0.0,0.0,True,0.47,0.2222222222222222,0.0,,0,0,0,0,0,0,0,0,0,0
Q05397,Sries13082,False,0,0.0,0.0,True,0.005,0.1,0.0,,0,0,0,0,0,0,0,0,0,0
P18031,Sries13306,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P14174,Sries13320,False,0,0.0,0.0,True,0.115,0.25,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries13345,True,1,0.005,0.029411764705882353,True,0.005,0.14285714285714285,0.12425400942116434,0.12425400942116434,0,0,0,0,0,False,False,False,False,False
P00734,Sries13362,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q16539,Sries13439,False,0,0.0,0.0,True,0.01,0.09090909090909091,0.0,,0,0,0,0,0,0,0,0,0,0
P06239,Sries13463,False,0,0.0,0.0,True,0.04,0.1,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries13475,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P41145,Sries13577,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P06239,Sries13583,False,0,0.0,0.0,True,0.11,0.10526315789473684,0.0,,0,0,0,0,0,0,0,0,0,0
P55055,Sries13659,False,0,0.0,0.0,True,0.015,0.08333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P12931,Sries13686,False,0,0.0,0.0,True,0.005,0.04,0.0,,0,0,0,0,0,0,0,0,0,0
P45452,Sries13975,False,0,0.0,0.0,True,0.005,0.05263157894736842,0.0,,0,0,0,0,0,0,0,0,0,0
P28482,Sries14089,True,1,0.005,0.03225806451612903,True,0.24,0.14285714285714285,0.5051640070750025,0.5051640070750025,1,0,0,0,0,True,False,False,False,False
O14757,Sries14139,True,2,0.01,0.041666666666666664,True,0.02,0.058823529411764705,1.621153005110136,0.9004960129419392,2,1,1,0,0,True,True,True,False,False
P29274,Sries14163,False,0,0.0,0.0,True,0.01,0.0625,0.0,,0,0,0,0,0,0,0,0,0,0
P06276,Sries14260,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P00749,Sries14362,False,0,0.0,0.0,True,0.025,0.0625,0.0,,0,0,0,0,0,0,0,0,0,0
P55055,Sries14421,False,0,0.0,0.0,True,0.03,0.16666666666666666,0.0,,0,0,0,0,0,0,0,0,0,0
P49137,Sries14437,True,4,0.02,0.13793103448275862,True,0.05,0.3076923076923077,1.6498004947501599,0.5862688075111104,2,0,0,0,0,True,False,False,False,False
P10275,Sries14520,False,0,0.0,0.0,True,0.015,0.14285714285714285,0.0,,0,0,0,0,0,0,0,0,0,0
P21554,Sries14530,True,1,0.005,0.03333333333333333,True,0.09,0.15384615384615385,0.4216495421754665,0.4216495421754665,0,0,0,0,0,False,False,False,False,False
P36897,Sries14607,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P41145,Sries14641,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P35968,Sries14930,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P18031,Sries14949,False,0,0.0,0.0,True,0.03,0.10526315789473684,0.0,,0,0,0,0,0,0,0,0,0,0
P00797,Sries14982,False,0,0.0,0.0,True,0.08,0.07692307692307693,0.0,,0,0,0,0,0,0,0,0,0,0
P10828,Sries15074,False,0,0.0,0.0,True,0.325,0.5,0.0,,0,0,0,0,0,0,0,0,0,0
P10828,Sries15275,False,0,0.0,0.0,True,0.165,0.25,0.0,,0,0,0,0,0,0,0,0,0,0
P18031,Sries15438,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P06239,Sries15536,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P08069,Sries15558,False,0,0.0,0.0,True,0.095,0.125,0.0,,0,0,0,0,0,0,0,0,0,0
P49137,Sries15708,False,0,0.0,0.0,True,0.06,0.1,0.0,,0,0,0,0,0,0,0,0,0,0
O14757,Sries15811,False,0,0.0,0.0,True,0.135,0.03333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P14416,Sries1588,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P18031,Sries16024,False,0,0.0,0.0,True,0.08,0.05,0.0,,0,0,0,0,0,0,0,0,0,0
P21554,Sries16309,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P14174,Sries16420,True,4,0.02,0.5714285714285714,True,0.3,0.8333333333333334,1.761339810873303,1.0,1,1,1,1,1,True,True,True,True,True
P06239,Sries16522,False,0,0.0,0.0,True,0.005,0.047619047619047616,0.0,,0,0,0,0,0,0,0,0,0,0
P10828,Sries16662,False,0,0.0,0.0,True,0.285,0.3333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P05979,Sries16708,False,0,0.0,0.0,True,0.005,1.0,0.0,,0,0,0,0,0,0,0,0,0,0
P08183,Sries16757,False,0,0.0,0.0,True,0.52,0.25,0.0,,0,0,0,0,0,0,0,0,0,0
P41145,Sries16881,False,0,0.0,0.0,True,0.41,0.2,0.0,,0,0,0,0,0,0,0,0,0,0
P00918,Sries1710,False,0,0.0,0.0,True,0.03,0.1111111111111111,0.0,,0,0,0,0,0,0,0,0,0,0
P14416,Sries17183,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
