uniprot,series,has_smiles_hit,smiles_hit_num,smiles_hit_rate,smiles_hit_fraction,has_scaffold_hit,scaffold_hit_rate,scaffold_hit_fraction,normalized_affinity_sum,max_normalized_affinity,normalized_affinity_count_>=_0.5,normalized_affinity_count_>=_0.8,normalized_affinity_count_>=_0.9,normalized_affinity_count_>=_0.95,normalized_affinity_count_>=_0.99,max_normalized_affinity_count_>=_0.5,max_normalized_affinity_count_>=_0.8,max_normalized_affinity_count_>=_0.9,max_normalized_affinity_count_>=_0.95,max_normalized_affinity_count_>=_0.99
P12931,Sries10152,True,1,0.005,0.025,True,0.09,0.07142857142857142,0.6352521961400374,0.6352521961400374,1,0,0,0,0,True,False,False,False,False
P06239,Sries10363,False,0,0.0,0.0,True,0.245,0.08333333333333333,0.0,,0,0,0,0,0,0,0,0,0,0
P00519,Sries10472,False,0,0.0,0.0,True,0.005,0.07142857142857142,0.0,,0,0,0,0,0,0,0,0,0,0
P00742,Sries10521,False,0,0.0,0.0,True,0.005,0.027777777777777776,0.0,,0,0,0,0,0,0,0,0,0,0
P00749,Sries10756,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1097,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries11217,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P24941,Sries11344,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P35968,Sries11589,True,1,0.005,0.029411764705882353,True,0.35,0.125,0.035495858253675856,0.035495858253675856,0,0,0,0,0,False,False,False,False,False
P12931,Sries11626,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1166,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
Q92731,Sries11705,False,0,0.0,0.0,True,0.205,0.5,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1233,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P12821,Sries1236,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P31645,Sries12826,True,1,0.005,0.02631578947368421,True,0.08,0.25,0.6926100213021624,0.6926100213021624,1,0,0,0,0,True,False,False,False,False
Q05397,Sries12970,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P29274,Sries12999,False,0,0.0,0.0,True,0.01,0.1,0.0,,0,0,0,0,0,0,0,0,0,0
P00533,Sries13081,False,0,0.0,0.0,True,0.3,0.1111111111111111,0.0,,0,0,0,0,0,0,0,0,0,0
Q05397,Sries13082,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P18031,Sries13306,False,0,0.0,0.0,False,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0
P14174,Sries13320,False,0,0.0,0.0,True,0.12,0.25,0.0,,0,0,0,0,0,0,0,0,0,0
