uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,True,False,0.004,0.0,0.0020512820512820513,0.0,210526315.78947368,True,False,0.002,0.0,0.0021668472372697724,0.0,2.6019138112835076,0.021052631578947368,0.0,0.010526315789473684,0.004045605001838912
O14965,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0008532423208191126,0.0008532423208191126,2.632776483199217,0.0,0.0,0.00823045267489712,0.003126149319602795
O43570,True,True,0.002,0.001,0.0004941932295527551,0.00024709661477637757,2.142631928964532,True,True,0.041,0.021,0.009584664536741214,0.007987220447284345,0.6167170088442965,0.0070921985815602835,0.0033100404560500183,0.1453900709219858,0.2357484369253402
O60674,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.012,0.012,0.000892458723784025,0.000892458723784025,5.011981527884339,0.0,0.0003677822728944465,0.06451612903225806,0.012872379551305628
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.027,0.001,0.0011507479861910242,0.0005753739930955121,0.5696405843647506,0.0,0.0003677822728944465,0.08463949843260188,0.14858403824935637
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003677822728944465
O76074,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0012674271229404308,0.0012674271229404308,1.8322101803153577,0.0,0.0,0.005390835579514825,0.002942258183155572
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.008,0.008,0.004629629629629629,0.004629629629629629,2.92365588085591,0.0,0.0,0.025806451612903226,0.008826774549466716
P00374,True,True,0.006,0.003,0.007100591715976331,0.0035502958579881655,235294117.6470588,True,True,0.039,0.039,0.0035335689045936395,0.0035335689045936395,1.0621891661167822,0.023529411764705882,0.0,0.15294117647058825,0.1439867598381758
