uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020059233737271237
O14965,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010265607853779985
O43570,True,True,0.001,0.001,0.00024709661477637757,0.00024709661477637757,8.833536038238385,True,True,0.096,0.035,0.013578274760383386,0.012779552715654952,1.3442580357528564,0.0013550135501355014,0.00015339414034383887,0.13008130081300814,0.09676810345844788
O60674,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0004462293618920125,0.0004462293618920125,1.2522014187287838,0.0,1.1799549257218375e-05,0.0013297872340425532,0.0010619594331496536
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.089,0.004,0.0017261219792865361,0.0011507479861910242,1.725392659914561,0.0,0.0,0.10136674259681093,0.058749955751690286
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006253761106325738
O76074,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0012674271229404308,0.0012674271229404308,0.5574858356484412,0.0,0.0,0.001447178002894356,0.0025959008365880423
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009675630390919066
P00374,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.015,0.015,0.0035335689045936395,0.0035335689045936395,0.45586853537393346,0.0,0.0,0.025684931506849314,0.056342847703217735
P00489,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005392394010548797
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.078,0.078,0.0022396416573348264,0.0022396416573348264,2.0093011599412582,0.0,0.0,0.1145374449339207,0.05700362246162197
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.043,0.043,0.0020567667626491155,0.0020567667626491155,0.9337715782796736,0.0,0.0,0.05931034482758621,0.06351697365160651
P00734,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.049,0.008,0.0037313432835820895,0.0026652452025586353,1.0315578053237837,0.0,1.1799549257218375e-05,0.07903225806451612,0.0766144733271189
P00742,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.087,0.087,0.0022988505747126436,0.0022988505747126436,1.810972138409299,0.0,0.0,0.11885245901639344,0.06562909296864859
P00749,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.167,0.057,0.022408963585434174,0.014005602240896359,2.39830731334789,0.0,0.0,0.18977272727272726,0.07912777731890641
P00797,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.039,0.01,0.0035778175313059034,0.0026833631484794273,0.8134172034997176,0.0,0.0,0.05485232067510549,0.067434424005003
P00915,True,True,0.006,0.005,0.0009995002498750624,0.0008329168748958854,50.5661934049924,True,True,0.157,0.053,0.009837962962962963,0.009259259259259259,1.8808611669702866,0.007159904534606206,0.0001415945910866205,0.18615751789976134,0.09897461916954772
P00918,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.075,0.038,0.006519558676028084,0.006018054162487462,0.9339775857721397,0.0,0.00015339414034383887,0.09866666666666667,0.1056413644998761
P03372,True,True,0.001,0.001,0.00034782608695652176,0.00034782608695652176,104.11336826386591,True,True,0.062,0.062,0.00968054211035818,0.00968054211035818,1.214274553760851,0.0012285012285012285,1.1799549257218375e-05,0.07616707616707617,0.06272640385137287
P03951,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.071,0.001,0.004158004158004158,0.002079002079002079,1.5968819636829907,0.0,0.0,0.09342105263157895,0.0585021652172887
P04150,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0012468827930174563,0.0012468827930174563,1.0383615637824135,0.0,0.0,0.0014947683109118087,0.0014395450093806416
P04629,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.028,0.028,0.0008880994671403197,0.0008880994671403197,0.764335976744018,0.0,0.0,0.043010752688172046,0.056272050407674426
P05979,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.071,0.01,0.014652014652014652,0.007326007326007326,1.4963876669928742,0.0,0.0,0.08996088657105607,0.06011870346552762
P06239,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.008,0.008,0.0011494252873563218,0.0011494252873563218,0.5681751130838111,0.0,1.1799549257218375e-05,0.03636363636363636,0.06400075517115246
P06276,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.024,0.024,0.0023094688221709007,0.0023094688221709007,0.6247657090500933,0.0,0.0,0.037383177570093455,0.059835514283354374
P07550,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.027,0.003,0.006593406593406593,0.004395604395604396,0.7675844567315241,0.0,0.0,0.04918032786885246,0.06407155246669577
P07900,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.03,0.03,0.005244755244755245,0.005244755244755245,0.7336178378423033,0.0,0.0,0.045454545454545456,0.06195943314965369
P08069,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.025,0.025,0.0022675736961451248,0.0022675736961451248,0.5543258850186171,0.0,0.0,0.03184713375796178,0.05745200533339626
P08183,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.036,0.036,0.0037926675094816687,0.0037926675094816687,0.9394374378347936,0.0,0.0,0.05714285714285714,0.06082667642096072
P08254,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.045,0.021,0.01020408163265306,0.006377551020408163,0.7476410425081405,0.0,0.0,0.06446991404011461,0.08623110597175188
P08581,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.019,0.019,0.0006807351940095302,0.0006807351940095302,0.443314658186224,0.0,0.0,0.024967148488830485,0.056319248604703304
P09874,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.047,0.043,0.004320987654320987,0.0030864197530864196,1.021005432727116,0.0,3.5398647771655125e-05,0.06133333333333333,0.06007150526849874
P10275,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.061,0.013,0.00744047619047619,0.005952380952380952,1.0403274901927968,0.0,0.0,0.08591549295774648,0.0825850452512714
P10415,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.039,0.039,0.0022497187851518562,0.0022497187851518562,2.0488284266305374,0.0,0.0,0.12111801242236025,0.059115741778664056
P10826,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.038,0.034,0.037383177570093455,0.028037383177570093,0.8428234184560099,0.0,0.0,0.05277777777777778,0.06262020790805792
P10828,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.026,0.026,0.014492753623188406,0.014492753623188406,0.7710010592261258,0.0,0.0,0.04475043029259897,0.058041982796257184
P11309,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.0013114754098360656,0.0013114754098360656,2.5469014567941337,0.0,0.0,0.004267425320056899,0.0016755359945250091
P11362,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.033,0.0,0.001075268817204301,0.0,0.718672522251039,0.0,0.0,0.04044117647058824,0.056272050407674426
P12821,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.045,0.045,0.0365296803652968,0.0365296803652968,1.0495477691827912,0.0,0.0,0.07563025210084033,0.07205984731383261
P12931,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.023,0.023,0.0016207455429497568,0.0016207455429497568,0.5321961651996194,0.0,0.0,0.030707610146862484,0.05769979586779785
P14174,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.022,0.012195121951219513,0.012195121951219513,0.6359477581181988,0.0,0.0,0.036243822075782535,0.05699182291236475
P14416,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.043,0.043,0.0032247662044501773,0.0032247662044501773,0.7731551784309028,0.0,1.1799549257218375e-05,0.06402439024390244,0.08280923668715855
P14902,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.045,0.045,0.004285714285714286,0.004285714285714286,1.0151882726059611,0.0,1.1799549257218375e-05,0.0635593220338983,0.06260840835880069
P15056,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.038,0.038,0.0006811989100817438,0.0006811989100817438,0.9299818345839098,0.0,0.0,0.053824362606232294,0.057876789106656126
P15145,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.057,0.029,0.06060606060606061,0.05303030303030303,1.0488361854617874,0.0,0.0,0.08085106382978724,0.07708645529740764
P16184,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.014598540145985401,0.014598540145985401,26.12481819364445,0.0,0.0,0.002466091245376079,9.4396394057747e-05
P18031,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.092,0.006,0.006507592190889371,0.0021691973969631237,2.048693633842832,0.0,2.359909851443675e-05,0.13549337260677466,0.06613647358670899
P19793,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.043,0.039,0.033112582781456956,0.019867549668874173,0.9399922293244928,0.0,0.0,0.059805285118219746,0.06362316959492148
P21554,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.068,0.068,0.0034411562284927736,0.0034411562284927736,1.4698908553348724,0.0,0.0,0.10134128166915052,0.06894476630992696
P22303,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.025,0.025,0.004201680672268907,0.004201680672268907,0.4440280217991504,0.0,3.5398647771655125e-05,0.030084235860409144,0.0677530118349479
P23458,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.000585480093676815,0.000585480093676815,2.853501146098642,0.0,1.1799549257218375e-05,0.0015151515151515152,0.0005309797165748268
P24941,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006253761106325738
P25440,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.359909851443675e-05
P27487,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.053,0.053,0.006134969325153374,0.006134969325153374,0.916459638900746,0.0,0.0,0.07625899280575539,0.08321042136190397
P28223,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.01,0.01,0.0011248593925759281,0.0011248593925759281,0.20153228143268523,0.0,0.0,0.015723270440251572,0.07801861968872789
P28482,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.064,0.004,0.004073319755600814,0.003054989816700611,1.3896642479355112,0.0,0.0,0.08590604026845637,0.06181783855856706
P28845,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.029,0.029,0.00078064012490242,0.00078064012490242,0.7176142008121752,0.0,0.0,0.04055944055944056,0.05651984094207601
P29274,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.007,0.007,0.0011344299489506524,0.0011344299489506524,0.1808325862233695,0.0,0.0,0.010903426791277258,0.06029569670438589
P29473,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.043,0.043,0.03076923076923077,0.03076923076923077,0.8491923329197619,0.0,0.0,0.04869762174405436,0.0573458093900813
