uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016406890894175554
O14965,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0017064846416382253,0.0017064846416382253,1.1432335640598181,0.0,0.0,0.001026694045174538,0.0008980613963127671
O43570,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.063,0.033,0.015175718849840255,0.013578274760383386,0.9773131504029589,0.0,0.0001208928802728725,0.06441717791411043,0.06591252536591684
O60674,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008548853676438841
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.078,0.009,0.0028768699654775605,0.0023014959723820483,2.3316503071727994,0.0,0.0,0.07942973523421588,0.034065886619748714
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033677302361728766
O76074,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0012674271229404308,0.0012674271229404308,0.6900958956444441,0.0,0.0,0.0010309278350515464,0.001493890591943353
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.004629629629629629,0.004629629629629629,1.1073022738289304,0.0,0.0,0.002036659877800407,0.0018392988212944173
P00374,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.022,0.0035335689045936395,0.0035335689045936395,0.7129983628342996,0.0,0.0,0.022774327122153208,0.03194162600923967
P00489,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.023255813953488372,0.023255813953488372,0.5787934717082291,0.0,0.0,0.0030737704918032786,0.005310651526272614
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.023,0.023,0.0011198208286674132,0.0011198208286674132,0.7444706536877702,0.0,0.0,0.02423603793466807,0.03255472561633781
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.034,0.034,0.0020567667626491155,0.0020567667626491155,0.8967489562207497,0.0,1.7270411467553215e-05,0.035527690700104496,0.039618323906567075
P00734,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.053,0.014,0.006396588486140725,0.004797441364605544,1.1324021570685185,0.0,8.635205733776608e-06,0.055150884495317375,0.04870256033850007
P00742,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.061,0.061,0.002758620689655172,0.002758620689655172,1.5587409739942846,0.0,8.635205733776608e-06,0.062118126272912425,0.039851474461379044
P00749,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.131,0.029,0.025210084033613446,0.0196078431372549,2.918384069194669,0.0,0.0,0.13449691991786447,0.04608609300116575
P00797,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.028,0.01,0.0035778175313059034,0.0026833631484794273,0.6657122669297842,0.0,0.0,0.02938090241343127,0.044134536505332236
P00915,True,True,0.001,0.001,0.0001665833749791771,0.0001665833749791771,8.44059068576274,True,True,0.103,0.057,0.010416666666666666,0.009259259259259259,1.5369796462856042,0.0010204081632653062,0.0001208928802728725,0.10510204081632653,0.06838219420577696
P00918,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.08,0.045,0.011534603811434303,0.01053159478435306,1.1235404533805493,0.0,0.00017270411467553215,0.08163265306122448,0.07265662104399637
P03372,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.038,0.037,0.00968054211035818,0.008712487899322363,1.036546066915229,0.0,8.635205733776608e-06,0.038461538461538464,0.03710547903803808
P03951,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.049,0.002,0.004158004158004158,0.002079002079002079,1.5208247355564908,0.0,0.0,0.05015353121801433,0.032977850697292865
P04150,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0012468827930174563,0.0012468827930174563,0.918118135793852,0.0,0.0,0.002053388090349076,0.002236518285048141
P04629,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.027,0.027,0.0008880994671403197,0.0008880994671403197,0.8778914304635997,0.0,0.0,0.027950310559006212,0.031838003540434354
P05979,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.007,0.018315018315018316,0.003663003663003663,1.3732947177819148,0.0,8.635205733776608e-06,0.05122950819672131,0.03730408876991494
P06239,True,True,0.001,0.001,0.0006188118811881188,0.0006188118811881188,59.08384156325578,True,True,0.026,0.026,0.0011494252873563218,0.0011494252873563218,0.7301277430050295,0.0010204081632653062,1.7270411467553215e-05,0.026530612244897958,0.03633694572773196
P06276,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.024,0.024,0.0023094688221709007,0.0023094688221709007,0.6733719895966583,0.0,0.0,0.024665981500513873,0.03663054272268037
P07550,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.024,0.006,0.01098901098901099,0.008791208791208791,0.6189457072193509,0.0,0.0,0.025130890052356022,0.040602737360217606
P07900,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.026,0.026,0.006993006993006993,0.006993006993006993,0.7286908022904631,0.0,0.0,0.026503567787971458,0.03637148655066707
P08069,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.022,0.0022675736961451248,0.0022675736961451248,0.7084190203075563,0.0,0.0,0.022964509394572025,0.03241656232459739
P08183,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.014,0.014,0.0025284450063211127,0.0025284450063211127,0.4018556132170481,0.0,0.0,0.014300306435137897,0.0355856828288934
P08254,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.139,0.029,0.015306122448979591,0.012755102040816327,2.5164716830240694,0.0,0.0,0.14052953156822812,0.055843875480333316
P08581,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.012,0.012,0.0006807351940095302,0.0006807351940095302,0.39872628738073373,0.0,0.0,0.012711864406779662,0.03188117956910323
P09874,True,True,0.001,0.001,0.0002954209748892171,0.0002954209748892171,0.0,True,True,0.029,0.027,0.0030864197530864196,0.001851851851851852,0.7938966786738317,0.0,3.454082293510643e-05,0.02889576883384933,0.0363973921678684
P10275,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.141,0.04,0.008928571428571428,0.005952380952380952,2.88758042246316,0.0,8.635205733776608e-06,0.14641744548286603,0.050705928068736236
P10415,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.071,0.071,0.003374578177727784,0.003374578177727784,2.085748728692807,0.0,0.0,0.07274590163934426,0.034877595958723716
P10826,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.034,0.034,0.06542056074766354,0.06542056074766354,0.8625428252055046,0.0,0.0,0.03469387755102041,0.04022278830793144
P10828,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.037,0.035,0.036231884057971016,0.021739130434782608,1.0680926367809804,0.0,0.0,0.03763987792472025,0.035240274599542334
P11309,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0006557377049180328,0.0006557377049180328,0.5804761584656946,0.0,0.0,0.0010526315789473684,0.0018133932040930874
P11362,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.027,0.0,0.001075268817204301,0.0,0.8840596196162791,0.0,0.0,0.028154327424400417,0.03184663874616813
P12821,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.042,0.042,0.0319634703196347,0.0319634703196347,0.9084908152253321,0.0,0.0,0.043076923076923075,0.04741591468416735
P12931,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.02,0.02,0.0016207455429497568,0.0016207455429497568,0.620022099527347,0.0,0.0,0.02066115702479339,0.03332325892664393
P14174,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.013,0.013,0.012195121951219513,0.012195121951219513,0.4100908936880087,0.0,0.0,0.013584117032392894,0.03312464919476706
P14416,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.022,0.0012899064817800709,0.0012899064817800709,0.4417597903945808,0.0,0.0,0.022540983606557378,0.05102543068088597
P14902,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.053,0.053,0.004285714285714286,0.004285714285714286,1.3799160188988902,0.0,2.5905617201329823e-05,0.05402650356778797,0.03915202279694314
P15056,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.036,0.036,0.0006811989100817438,0.0006811989100817438,1.1597212836948485,0.0,0.0,0.03801478352692714,0.032779240965416
P15145,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.094,0.06,0.06060606060606061,0.05303030303030303,1.8021928248204027,0.0,0.0,0.09533468559837728,0.052899270325115495
P16184,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.004,0.003,0.021897810218978103,0.014598540145985401,38.150188384156515,0.0,0.0,0.004282655246252677,0.00011225767453909589
P18031,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.073,0.01,0.004338394793926247,0.0021691973969631237,1.700439036955116,0.0,0.0,0.07396149949341439,0.04349553128103277
P19793,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.038,0.03,0.059602649006622516,0.039735099337748346,0.9291807876531101,0.0,0.0,0.03834510595358224,0.0412676482017184
P21554,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.047,0.047,0.006194081211286993,0.006194081211286993,1.076494328953753,0.0,0.0,0.047910295616717634,0.04450585035188463
P22303,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.029,0.029,0.004726890756302521,0.004726890756302521,0.7009763593065679,0.0,5.1811234402659645e-05,0.02880658436213992,0.041094944087042874
P23458,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.000585480093676815,0.000585480093676815,2.857265434728283,0.0,0.0,0.0010362694300518134,0.00036267864081861753
P24941,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004749363153577134
P25440,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454082293510643e-05
P27487,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.065,0.065,0.010224948875255624,0.010224948875255624,1.2163400540873077,0.0,0.0,0.06537282941777324,0.053745520487025605
P28223,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.027,0.027,0.00281214848143982,0.00281214848143982,0.5840298097877136,0.0,0.0,0.027692307692307693,0.04741591468416735
P28482,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.044,0.005,0.004073319755600814,0.003054989816700611,1.1978330263713044,0.0,0.0,0.04597701149425287,0.03838348948663702
P28845,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.018,0.018,0.00078064012490242,0.00078064012490242,0.5705879050670072,0.0,0.0,0.01859504132231405,0.032589266439272915
P29274,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.034,0.034,0.0011344299489506524,0.0011344299489506524,1.0415584261340272,0.0,0.0,0.03549060542797495,0.03407452182548249
P29473,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.039,0.039,0.015384615384615385,0.015384615384615385,1.2223867167892928,0.0,0.0,0.03959390862944162,0.032390656707396055
P29476,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.031,0.031,0.03286384976525822,0.03286384976525822,0.6197396979578005,0.0,8.635205733776608e-06,0.03199174406604747,0.051621259876516556
P29597,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0013568521031207597,0.0013568521031207597,4.620370819103477,0.0,0.0,0.002074688796680498,0.00044903069815638356
P31645,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.021,0.021,0.00651890482398957,0.00651890482398957,0.4667448561155983,0.0,0.0,0.020833333333333332,0.04463537843789128
P31749,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.028,0.028,0.0027906976744186047,0.0027906976744186047,0.7041026785247517,0.0,0.0,0.02877697841726619,0.04087042873796468
P33981,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.635205733776608e-05
P34913,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.028,0.005,0.004352557127312296,0.002176278563656148,0.6859556915900941,0.0,8.635205733776608e-06,0.029166666666666667,0.04251975303311602
P35372,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.026,0.026,0.0019120458891013384,0.0019120458891013384,0.7211666721353645,0.0,0.0,0.026584867075664622,0.03686369327749234
