uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001563721657544957
O14965,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.012,0.012,0.0017064846416382253,0.0017064846416382253,6.1840546987675085,0.0,0.0,0.012195121951219513,0.001972026757015029
O43570,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.182,0.082,0.019968051118210862,0.018370607028753993,3.0073347268030184,0.0,0.00012162279558682999,0.18533604887983707,0.06162800799235514
O60674,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0004462293618920125,0.0004462293618920125,0.43316121955175635,0.0,0.0,0.0010235414534288639,0.0023629571714012683
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.243,0.004,0.0028768699654775605,0.0023014959723820483,8.416605506790795,0.0,0.0,0.256059009483667,0.03042307358179133
O75874,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0017699115044247787,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0002779949613413257
O76074,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0012674271229404308,0.0012674271229404308,0.6344805141477636,0.0,0.0,0.0010141987829614604,0.0015984710277126227
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.005,0.005,0.013888888888888888,0.013888888888888888,1.80520525072276,0.0,0.0,0.005112474437627812,0.0028320736686647556
P00374,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.0035335689045936395,0.0035335689045936395,0.10981061263593271,0.0,0.0,0.0031185031185031187,0.0283989227695248
P00489,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.011627906976744186,0.011627906976744186,0.6049569225445064,0.0,0.0,0.001040582726326743,0.0017200938232994527
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.028,0.028,0.0011198208286674132,0.0011198208286674132,0.9895551222735902,0.0,0.0,0.028368794326241134,0.028668230388324212
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.021,0.003290826820238585,0.002879473467708762,0.54723316948259,0.0,8.687342541916429e-06,0.02217741935483871,0.04052645295804014
P00734,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.014,0.008,0.0031982942430703624,0.0026652452025586353,0.2773560691754132,0.0,8.687342541916429e-06,0.014300306435137897,0.051559377986273996
P00742,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.077,0.077,0.0018390804597701149,0.0018390804597701149,2.012687679466108,0.0,8.687342541916429e-06,0.07913669064748201,0.039318912344713755
P00749,True,True,0.001,0.001,0.0012285012285012285,0.0012285012285012285,116.27138887276995,True,True,0.059,0.005,0.0196078431372549,0.0056022408963585435,1.6046996235366577,0.00101010101010101,8.687342541916429e-06,0.0595959595959596,0.037138389366692726
P00797,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.089,0.014,0.0035778175313059034,0.0026833631484794273,2.286658424958003,0.0,0.0,0.09417989417989418,0.04118669099122579
P00915,True,True,0.003,0.003,0.0004997501249375312,0.0004997501249375312,33.61199519449387,True,True,0.24,0.132,0.017939814814814815,0.017361111111111112,4.0803678682300495,0.0032119914346895075,9.55607679610807e-05,0.2569593147751606,0.06297454608635218
P00918,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.137,0.066,0.01805416248746239,0.0160481444332999,2.097086840955407,0.0,0.00013031013812874641,0.1379657603222558,0.06578924506993311
P03372,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.058,0.054,0.00968054211035818,0.008712487899322363,1.3794173521962063,0.0,0.0,0.05991735537190083,0.04343671270958214
P03951,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.042,0.0,0.002079002079002079,0.0,1.5524934918669229,0.0,0.0,0.04421052631578947,0.02847710885240205
P04150,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0012468827930174563,0.0012468827930174563,0.39169047136826574,0.0,0.0,0.0010548523206751054,0.0026930761879940925
P04629,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.027,0.027,0.0008880994671403197,0.0008880994671403197,1.0226101649449206,0.0,0.0,0.028969957081545063,0.028329424029189473
P05979,True,False,0.001,0.0,0.001451378809869376,0.0,0.0,True,True,0.077,0.015,0.029304029304029304,0.014652014652014652,1.8275843966933536,0.0,8.687342541916429e-06,0.07881269191402251,0.04312396837807315
P06239,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.111,0.111,0.004597701149425287,0.004597701149425287,5.022590855886787,0.0,0.0,0.17182662538699692,0.034210754930066894
P06276,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.075,0.075,0.003849114703618168,0.003849114703618168,2.565391360003408,0.0,8.687342541916429e-06,0.08660508083140878,0.03375901311788724
P07550,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.056,0.002,0.006593406593406593,0.004395604395604396,1.4572108068396463,0.0,0.0,0.059637912673056445,0.04092607071496829
P07900,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.028,0.028,0.008741258741258742,0.008741258741258742,0.6500436025931221,0.0,0.0,0.028484231943031537,0.043818955781426465
P08069,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0022675736961451248,0.0022675736961451248,0.070191806138689,0.0,0.0,0.00202020202020202,0.028781165841369125
P08183,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.014,0.014,0.0050568900126422255,0.0050568900126422255,0.4874600482990277,0.0,0.0,0.01545253863134658,0.031700112935453044
P08254,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.176,0.052,0.01403061224489796,0.012755102040816327,3.695680565640632,0.0,0.0,0.18049792531120332,0.04884023977065416
P08581,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0006807351940095302,0.0006807351940095302,0.07099814322831514,0.0,0.0,0.0020304568527918783,0.02859873164798888
P09874,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.015,0.015,0.001851851851851852,0.001851851851851852,0.3941911782635189,0.0,2.6062027625749282e-05,0.015906680805938492,0.040352706107201805
P10275,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.06,0.025,0.010416666666666666,0.008928571428571428,1.3266656188523172,0.0,0.0,0.06147540983606557,0.04633828511858223
P10415,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.049,0.049,0.0022497187851518562,0.0022497187851518562,1.5576368589793321,0.0,0.0,0.051041666666666666,0.03276865606810877
P10826,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.013,0.012,0.037383177570093455,0.028037383177570093,0.33574645239417755,0.0,0.0,0.013347022587268994,0.03975327947180957
P10828,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.025,0.018,0.043478260869565216,0.028985507246376812,0.7619319677216146,0.0,0.0,0.02765486725663717,0.03629571714012683
P11309,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0013114754098360656,0.0013114754098360656,1.6051705544176025,0.0,0.0,0.002008032128514056,0.0012509773260359655
P11362,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.005,0.0,0.001075268817204301,0.0,0.17634714542277138,0.0,0.0,0.005005005005005005,0.02838154808444097
P12821,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.055,0.055,0.0593607305936073,0.0593607305936073,1.3011778508990008,0.0,0.0,0.06179775280898876,0.04749370167665711
P12931,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.0024311183144246355,0.0024311183144246355,0.08955082196094645,0.0,0.0,0.0030425963488843813,0.03397619668143515
P14174,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.006,0.006,0.012195121951219513,0.012195121951219513,0.19640546037361065,0.0,0.0,0.006191950464396285,0.03152636608461472
P14416,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.012,0.012,0.0012899064817800709,0.0012899064817800709,0.25366714556950176,0.0,0.0,0.01134020618556701,0.04470506472070194
P14902,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.064,0.064,0.008571428571428572,0.008571428571428572,1.8140342947440824,0.0,8.687342541916429e-06,0.06557377049180328,0.036148032316914255
P15056,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.018,0.018,0.0013623978201634877,0.0013623978201634877,0.5997782053119376,0.0,0.0,0.01820020222446916,0.03034488749891408
P15145,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.036,0.011,0.06060606060606061,0.05303030303030303,0.8500221513419619,0.0,0.0,0.036885245901639344,0.04339327599687256
P16184,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4749370167665714e-05
P18031,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.094,0.007,0.007592190889370932,0.0032537960954446853,2.1248475590635456,0.0,0.0,0.09801876955161627,0.046129788897576234
P19793,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.016,0.013,0.026490066225165563,0.019867549668874173,0.4171438086962006,0.0,0.0,0.017278617710583154,0.04142124923985753
P21554,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.055,0.055,0.0041293874741913286,0.0041293874741913286,1.352982732827379,0.0,0.0,0.0580168776371308,0.042880722786899486
P22303,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.036,0.036,0.004726890756302521,0.004726890756302521,0.9177063069957737,0.0,2.6062027625749282e-05,0.035317860746720484,0.03848492746068977
P23458,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005994266353922335
P24941,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006254886630179827
P25440,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.081139779341499e-05
P27487,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.014,0.014,0.00408997955010225,0.00408997955010225,0.3427751004802684,0.0,8.687342541916429e-06,0.014358974358974359,0.041890365737121016
P28223,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.011,0.011,0.0022497187851518562,0.0022497187851518562,0.2334604302941319,0.0,8.687342541916429e-06,0.011235955056179775,0.04812787768221701
P28482,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.003,0.004073319755600814,0.003054989816700611,0.6441228811122762,0.0,0.0,0.02265705458290422,0.035175049952219616
P28845,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.00078064012490242,0.00078064012490242,0.10455031339885329,0.0,0.0,0.0030272452068617556,0.028954912692207454
P29274,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.011,0.011,0.0017016449234259785,0.0017016449234259785,0.3514422831200241,0.0,0.0,0.011363636363636364,0.032334288941012944
P29473,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.139,0.139,0.015384615384615385,0.015384615384615385,5.130167610275262,0.0,0.0,0.1452455590386625,0.02831204934410564
P29476,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.004,0.004,0.014084507042253521,0.014084507042253521,0.11899113346746967,0.0,0.0,0.00411522633744856,0.0345843106593693
P29597,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0013568521031207597,0.0013568521031207597,1.2344499174665946,0.0,0.0,0.0010080645161290322,0.0008166101989401443
P31645,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.043,0.043,0.007822685788787484,0.007822685788787484,0.9452010101968437,0.0,0.0,0.04338842975206612,0.0459039179914864
P31749,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.022,0.022,0.0037209302325581397,0.0037209302325581397,0.733839089814626,0.0,0.0,0.022727272727272728,0.030970376161932066
P33981,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029536964642515854
P34913,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.004,0.0,0.001088139281828074,0.0,0.1310206196014694,0.0,0.0,0.0041841004184100415,0.03193467118408479
P35372,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.043,0.043,0.002390057361376673,0.002390057361376673,1.0943863512744898,0.0,0.0,0.04317269076305221,0.0394492224828425
P35557,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010424811050299713
P35968,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.006,0.006,0.0006651147322913202,0.0006651147322913202,0.2105547473068953,0.0,0.0,0.006263048016701462,0.02974546086352185
P36897,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3436712709582136e-05
P37231,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.169,0.034,0.012808783165599268,0.009149130832570906,3.521496799829084,0.0,0.0,0.171225937183384,0.04862305620710625
P41143,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.018,0.018,0.00170261066969353,0.00170261066969353,0.5992101435821956,0.0,0.0,0.01882845188284519,0.03142211797411172
P41145,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.055,0.055,0.0027979854504756574,0.0027979854504756574,1.4143906092148189,0.0,0.0,0.057651991614255764,0.04076101120667188
P42330,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.083,0.083,0.0440251572327044,0.0440251572327044,1.9177329024771974,0.0,5.2124055251498564e-05,0.08434959349593496,0.04398401528972287
P42336,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,8.687342541916429e-06,0.0,0.0008600469116497264
P43405,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.001367053998632946,0.001367053998632946,1.0182580026083043,0.0,0.0,0.002008032128514056,0.001972026757015029
P43490,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026062027625749283
P45452,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.014,0.013,0.0056925996204933585,0.004743833017077799,0.2713418581607342,0.0,0.0,0.014084507042253521,0.051906871687950655
P48736,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013899748067066286
P49137,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.01,0.01,0.0028328611898017,0.0028328611898017,0.3539586251713454,0.0,0.0,0.010070493454179255,0.0284510468247763
P49841,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.02,0.015,0.002631578947368421,0.0017543859649122807,0.5314625247470183,0.0,0.0,0.020222446916076844,0.038050560333593955
P51449,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.036,0.036,0.005439709882139619,0.005439709882139619,0.8902035823986448,0.0,0.0,0.0380952380952381,0.04279384936148032
P52333,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.000708215297450425,0.000708215297450425,1.343863647528047,0.0,0.0,0.001004016064257028,0.0007471114586048128
P52732,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.006,0.004,0.01652892561983471,0.012396694214876033,0.4254807929238386,0.0,0.0,0.006109979633401222,0.014360177221787855
P53350,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.013,0.013,0.0022522522522522522,0.0022522522522522522,0.6382121186045437,0.0,0.0,0.019726858877086494,0.03090956476413865
P53779,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.013,0.013,0.0053285968028419185,0.0053285968028419185,0.43402043982956795,0.0,0.0,0.01330603889457523,0.030657631830423075
P55055,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.033,0.033,0.012295081967213115,0.012295081967213115,1.1269892564160282,0.0,0.0,0.034736842105263156,0.030822691338719486
P56817,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.038,0.038,0.0028469750889679717,0.0028469750889679717,1.1088900953916312,0.0,0.0,0.04081632653061224,0.036808270350099904
P62942,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.0033003300330033004,0.0033003300330033004,6.546290738099025,0.0,0.0,0.0031847133757961785,0.00048649118234731994
P68400,False,False,0.0,0.0,0.0,0.0,0.0,True,False,0.005,0.0,0.0036101083032490976,0.0,0.1709849864283382,0.0,0.0,0.005025125628140704,0.029389279819303275
P78536,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.045,0.028,0.016819571865443424,0.01529051987767584,1.0017515327852933,0.0,0.0,0.04559270516717325,0.045512987577100164
P98170,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.045,0.045,0.0031545741324921135,0.0031545741324921135,1.3017252260841081,0.0,0.0,0.04573170731707317,0.035131613239510036
Q00987,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4749370167665714e-05
Q02127,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.012,0.002,0.013245033112582781,0.006622516556291391,0.2811344856416474,0.0,0.0,0.012108980827447022,0.04307184432282165
Q02750,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002154460950395274
Q03181,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.002,0.008108108108108109,0.005405405405405406,1.4470507711311396,0.0,0.0,0.0031678986272439284,0.00218921032056294
