uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013692377909630305
O14965,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000433591967138293
O43570,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.002,0.0023961661341853034,0.001597444089456869,0.27443301196710884,0.0,0.00029666818804198995,0.004120879120879121,0.015015974440894569
O60674,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006389776357827476
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0005753739930955121,0.0005753739930955121,2.8981481011122776,0.0,0.0,0.017857142857142856,0.006161570059333638
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045641259698767686
O76074,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008900045641259699
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049977179370150615
P00374,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052259242355089
P00489,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.0011198208286674132,0.0011198208286674132,12.837890405251423,0.0,0.0,0.075,0.005842081241442264
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.00041135335252982314,0.00041135335252982314,27.82222198999941,0.0,4.5641259698767684e-05,0.3333333333333333,0.011980830670926517
