uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0010834236186348862,0.0010834236186348862,4.167586694203761,0.0,0.0,0.001072961373390558,0.00025745378209507966
O14965,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0008532423208191126,0.0008532423208191126,0.9986945422999421,0.0,0.0,0.0010976948408342481,0.0010991296081751477
O43570,True,True,0.001,0.001,0.00024709661477637757,0.00024709661477637757,10.78941218080361,True,True,0.256,0.121,0.018370607028753993,0.016773162939297124,1.2007008809249402,0.0010683760683760685,9.902068542118449e-05,0.27350427350427353,0.22778718474289278
O60674,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.004,0.004,0.0004462293618920125,0.0004462293618920125,1.757782443535679,0.0,0.0,0.0042643923240938165,0.0024260067928190197
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.119,0.002,0.0011507479861910242,0.0005753739930955121,1.128032120921278,0.0,0.0,0.1349206349206349,0.11960708592024874
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.902068542118449e-05
O76074,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0012674271229404308,0.0012674271229404308,0.4497935531570042,0.0,0.0,0.0022002200220022,0.004891621859806514
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.021,0.021,0.013888888888888888,0.013888888888888888,1.014862823295305,0.0,0.0,0.02258064516129032,0.022249948014140153
P00374,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.139,0.139,0.007067137809187279,0.007067137809187279,1.346619203018866,0.0,0.0,0.15653153153153154,0.11624038261592846
P00489,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.011,0.011,0.023255813953488372,0.023255813953488372,5.772119047159478,0.0,0.0,0.01131687242798354,0.0019606095713394526
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.164,0.164,0.0033594624860022394,0.0033594624860022394,1.5216348042313181,0.0,0.0,0.1772972972972973,0.11651764053510778
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.171,0.171,0.003290826820238585,0.003290826820238585,1.0563918755427975,0.0,1.9804137084236898e-05,0.17775467775467776,0.1682658507362188
