uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017816620093396597
O14965,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.004,0.004,0.0008532423208191126,0.0008532423208191126,5.0781898314900955,0.0,0.0,0.004,0.0007876821514975338
O43570,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.023,0.014,0.007987220447284345,0.00718849840255591,0.5841788405164839,0.0,0.00014065752705313104,0.023138832997987926,0.0396091596181617
O60674,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015097241237036064
O60885,True,True,0.001,0.001,0.00025839793281653745,0.00025839793281653745,162.31485960504008,True,True,0.004,0.002,0.0011507479861910242,0.0005753739930955121,0.3473870297207377,0.0015220700152207,9.377168470208736e-06,0.0060882800608828,0.017525927870820128
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005626301082125242
O76074,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.0012674271229404308,0.0012674271229404308,1.2659531656027923,0.0,0.0,0.003169572107765452,0.0025037039815457326
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.004629629629629629,0.004629629629629629,0.5714209058374158,0.0,0.0,0.003006012024048096,0.005260591511787101
P00374,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.0035335689045936395,0.0035335689045936395,0.21604724278370183,0.0,0.0,0.0031746031746031746,0.014694022992817088
P00489,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.023255813953488372,0.023255813953488372,9.142831293281978,0.0,0.0,0.006172839506172839,0.000675156129855029
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.032,0.032,0.0011198208286674132,0.0011198208286674132,2.0770200717286933,0.0,0.0,0.032,0.015406687796552953
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.003,0.003,0.0012340600575894694,0.0012340600575894694,0.1502028906525545,0.0,9.377168470208736e-06,0.003911342894393742,0.026040396841769658
P00734,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.029,0.016,0.0026652452025586353,0.0021321961620469083,0.8697615188896746,0.0,0.0,0.029263370332996974,0.03364528047110894
P00742,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.012,0.012,0.001379310344827586,0.001379310344827586,0.5564404594548549,0.0,0.0,0.012752391073326248,0.02291779974119015
P00749,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.097,0.01,0.0196078431372549,0.011204481792717087,3.9712658872282214,0.0,0.0,0.09719438877755511,0.0244744097072448
P00797,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.015,0.006,0.004472271914132379,0.0035778175313059034,0.6801954797412444,0.0,0.0,0.017584994138335287,0.025852853472365486
P00915,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.075,0.059,0.004629629629629629,0.004050925925925926,1.813228288520374,0.0,0.0001031488531722961,0.075,0.041362690122090734
P00918,True,True,0.001,0.001,0.00014072614691809738,0.00014072614691809738,7.547199163714046,True,True,0.042,0.029,0.0050150451354062184,0.004012036108324975,1.006081007781239,0.0010615711252653928,0.00014065752705313104,0.044585987261146494,0.044316498190206485
P03372,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.017,0.017,0.008712487899322363,0.008712487899322363,0.6910482678187161,0.0,0.0,0.018027571580063628,0.026087282684120704
