uniprot,has_smiles_hit,has_smiles_hit_not_in_trainset,smiles_hit_rate,smiles_hit_rate_not_in_trainset,smiles_hit_fraction,smiles_hit_fraction_not_in_trainset,smiles_TAScore,has_scaffold_hit,has_scaffold_hit_not_in_trainset,scaffold_hit_rate,scaffold_hit_rate_not_in_trainset,scaffold_hit_fraction,scaffold_hit_fraction_not_in_trainset,scaffold_TAScore,smiles_intersection_specific,smiles_intersection_all,scaffold_intersection_specific,scaffold_intersection_all
O14757,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009552124750749245
O14965,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0008532423208191126,0.0008532423208191126,0.575118083556711,0.0,0.0,0.0011467889908256881,0.001994006041718905
O43570,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.17,0.068,0.010383386581469648,0.00878594249201278,1.6503262638825495,0.0,0.000107461403445929,0.2111801242236025,0.12796265119222458
O60674,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.000892458723784025,0.000892458723784025,1.139004434968118,0.0,0.0,0.0024479804161566705,0.00214922806891858
O60885,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.064,0.001,0.0011507479861910242,0.0005753739930955121,1.0223666729635048,0.0,0.0,0.0784313725490196,0.07671550190445488
O75874,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009552124750749245
O76074,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.006,0.006,0.0025348542458808617,0.0025348542458808617,1.5850173929728153,0.0,0.0,0.007361963190184049,0.00464472066005182
O94925,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P00338,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.002,0.002,0.004629629629629629,0.004629629629629629,1.2089467663825662,0.0,0.0,0.0026560424966799467,0.002196988692672326
P00374,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.0035335689045936395,0.0035335689045936395,0.022029313467788917,0.0,0.0,0.001579778830963665,0.07171257656624995
P00489,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.001,0.001,0.011627906976744186,0.011627906976744186,0.20429315125108324,0.0,0.0,0.001451378809869376,0.007104392783369751
P00519,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.005,0.005,0.0011198208286674132,0.0011198208286674132,0.12963102249038108,0.0,0.0,0.009746588693957114,0.07518716194433499
P00533,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.036,0.036,0.002879473467708762,0.002879473467708762,0.5427309565075062,0.0,0.0,0.04472049689440994,0.08239901613115068
P00734,False,False,0.0,0.0,0.0,0.0,0.0,True,True,0.066,0.016,0.0037313432835820895,0.0026652452025586353,0.7533584865350754,0.0,0.0,0.0812807881773399,0.10789124905971272
